Year_Month,Contract_Count,Total_Value_SAR,Average_Value_SAR
2020-01,8,16140000,2017500
2020-02,7,41690000,5955714
2020-03,12,156400000,13033333
2020-04,4,18420000,4605000
2020-05,8,24050000,3006250
2020-06,7,62150000,8878571
2020-07,10,78920000,7892000
2020-08,3,3480000,1160000
2020-09,4,4820000,1205000
2020-10,9,90960000,10106667
2020-11,9,19570000,2174444
2020-12,9,20500000,2277778
2021-01,14,50910000,3636429
2021-02,5,7610000,1522000
2021-03,11,23250000,2113636
2021-04,3,31380000,10460000
2021-05,7,45890000,6555714
2021-06,10,97830000,9783000
2021-07,5,92320000,18464000
2021-08,7,55200000,7885714
2021-09,12,65990000,5499167
2021-10,5,52060000,10412000
2021-11,4,5590000,1397500
2021-12,10,71440000,7144000
2022-01,9,76320000,8480000
2022-02,5,97840000,19568000
2022-03,5,50970000,10194000
2022-04,7,42650000,6092857
2022-05,10,92690000,9269000
2022-06,10,92850000,9285000
2022-07,11,117650000,10695455
2022-08,11,47730000,4339091
2022-09,7,42480000,6068571
2022-10,5,14700000,2940000
2022-11,8,104880000,13110000
2022-12,8,64470000,8058750
2023-01,11,28200000,2563636
2023-02,12,35440000,2953333
2023-03,8,71220000,8902500
2023-04,6,43820000,7303333
2023-05,14,38730000,2766429
2023-06,7,39030000,5575714
2023-07,12,104900000,8741667
2023-08,14,123030000,8787857
2023-09,8,30170000,3771250
2023-10,5,33540000,6708000
2023-11,9,101680000,11297778
2023-12,12,52000000,4333333
2024-01,9,59780000,6642222
2024-02,8,36390000,4548750
2024-03,9,56220000,6246667
2024-04,7,64600000,9228571
2024-05,7,32960000,4708571
2024-06,8,22460000,2807500
2024-07,17,170680000,10040000
2024-08,2,1760000,880000
2024-09,9,84590000,9398889
2024-10,9,47320000,5257778
2024-11,6,97150000,16191667
2024-12,12,69610000,5800833
