Project_Type,Contract_Count,Total_Value_SAR,Average_Value_SAR,Market_Share_Percent
أنظمة التكييف,42,388520000,9250476,11.34
أعمال السباكة,37,368260000,9952973,10.75
تطوير البنية التحتية,51,357380000,7007451,10.43
أعمال النظافة,47,324830000,6911277,9.48
صيانة الطرق,40,308000000,7700000,8.99
إنشاءات جديدة,49,294620000,6012653,8.60
صيانة دورية,47,290820000,6187660,8.49
الخدمات الكهربائية,42,290580000,6918571,8.48
تشغيل وصيانة المرافق,35,268520000,7672000,7.84
صيانة المباني,33,241900000,7330303,7.06
تطوير المرافق,38,204940000,5393158,5.98
ترميم وتجديد,39,88710000,2274615,2.59
