Duration_Months,Contract_Value_SAR,Sector
6,190000.0,التعليم
3,160000.0,التعليم
24,2050000.0,البلدية
48,490000.0,الدفاع
24,7180000.0,البلدية
24,25620000.0,البلدية
18,7880000.0,الإسكان
24,47370000.0,التعليم
36,310000.0,الداخلية
48,36800000.0,الدفاع
48,1300000.0,الداخلية
24,4850000.0,الصحة
6,30020000.0,البلدية
36,730000.0,الدفاع
6,45740000.0,البلدية
18,23490000.0,الإسكان
6,1730000.0,النقل
36,170000.0,الدفاع
60,3590000.0,الصحة
6,430000.0,الدفاع
24,650000.0,الداخلية
48,940000.0,البلدية
48,8120000.0,البلدية
3,2470000.0,الصحة
6,3970000.0,الداخلية
36,23700000.0,الإسكان
6,370000.0,النقل
18,830000.0,الداخلية
12,100000.0,الإسكان
24,1020000.0,البلدية
24,280000.0,النقل
36,810000.0,الداخلية
6,1670000.0,البلدية
36,5450000.0,البلدية
18,5860000.0,الدفاع
6,28730000.0,الدفاع
3,270000.0,الدفاع
48,470000.0,النقل
6,4510000.0,النقل
48,5180000.0,الإسكان
48,7080000.0,الإسكان
12,4380000.0,النقل
3,290000.0,النقل
48,390000.0,الإسكان
18,18140000.0,الداخلية
12,5980000.0,الداخلية
24,220000.0,الدفاع
18,260000.0,الدفاع
3,48630000.0,الداخلية
18,1070000.0,الداخلية
60,45840000.0,الصحة
3,220000.0,التعليم
3,2430000.0,الدفاع
18,400000.0,الصحة
6,3370000.0,الدفاع
18,450000.0,الدفاع
36,270000.0,البلدية
12,7450000.0,الدفاع
18,2720000.0,الدفاع
36,160000.0,الدفاع
18,420000.0,الداخلية
24,410000.0,التعليم
36,1450000.0,الدفاع
12,430000.0,الداخلية
24,330000.0,التعليم
3,1480000.0,الداخلية
60,380000.0,الإسكان
48,8630000.0,النقل
3,8200000.0,الصحة
6,260000.0,الداخلية
60,170000.0,الدفاع
12,130000.0,البلدية
48,43580000.0,النقل
24,170000.0,الإسكان
60,22170000.0,النقل
6,32130000.0,الداخلية
36,450000.0,الداخلية
60,8370000.0,الصحة
18,4600000.0,النقل
12,1110000.0,النقل
18,44100000.0,الإسكان
24,6860000.0,الإسكان
48,1170000.0,البلدية
48,1890000.0,البلدية
60,280000.0,الصحة
48,9140000.0,الدفاع
6,400000.0,الدفاع
24,13080000.0,الدفاع
12,90000.0,النقل
24,1890000.0,الصحة
48,5830000.0,البلدية
24,29810000.0,الصحة
24,3930000.0,النقل
3,1420000.0,الصحة
18,330000.0,الدفاع
6,650000.0,التعليم
60,1910000.0,الدفاع
36,24850000.0,الإسكان
24,17790000.0,الصحة
12,16640000.0,البلدية
18,16660000.0,الإسكان
60,160000.0,الإسكان
18,980000.0,الدفاع
12,60000.0,التعليم
12,6410000.0,الصحة
18,12910000.0,الإسكان
6,1430000.0,الصحة
36,1750000.0,النقل
18,970000.0,الداخلية
24,820000.0,الإسكان
12,1720000.0,النقل
24,1710000.0,النقل
24,1390000.0,البلدية
24,33550000.0,الصحة
48,1210000.0,التعليم
3,4280000.0,الداخلية
48,400000.0,الإسكان
18,940000.0,البلدية
12,1970000.0,التعليم
6,48630000.0,الداخلية
60,9710000.0,الدفاع
48,32780000.0,التعليم
36,1850000.0,البلدية
6,450000.0,الإسكان
60,280000.0,الإسكان
3,480000.0,الدفاع
18,1490000.0,النقل
18,5680000.0,النقل
36,2430000.0,البلدية
12,1720000.0,الإسكان
6,1280000.0,الإسكان
36,940000.0,الدفاع
3,9350000.0,البلدية
12,2360000.0,الداخلية
24,41470000.0,البلدية
12,8720000.0,النقل
6,450000.0,التعليم
48,310000.0,الدفاع
36,3150000.0,الصحة
3,480000.0,التعليم
18,1800000.0,الداخلية
18,4440000.0,الداخلية
36,320000.0,النقل
24,4990000.0,البلدية
3,1200000.0,البلدية
24,460000.0,التعليم
18,450000.0,الصحة
36,43290000.0,الإسكان
12,1170000.0,الصحة
60,580000.0,الإسكان
12,19580000.0,البلدية
48,12170000.0,النقل
36,1860000.0,الدفاع
6,180000.0,الإسكان
6,1990000.0,الداخلية
24,21680000.0,البلدية
36,1270000.0,الداخلية
48,8900000.0,النقل
12,46990000.0,الإسكان
24,210000.0,الإسكان
12,7150000.0,النقل
36,6720000.0,الصحة
48,2250000.0,الداخلية
3,260000.0,الداخلية
36,18770000.0,البلدية
18,70000.0,الدفاع
12,1570000.0,الداخلية
18,600000.0,الصحة
24,8400000.0,الداخلية
24,310000.0,الداخلية
36,3660000.0,النقل
60,810000.0,النقل
24,1560000.0,البلدية
36,5490000.0,النقل
3,850000.0,النقل
3,1370000.0,التعليم
12,1670000.0,الدفاع
36,9270000.0,الإسكان
24,7910000.0,التعليم
48,36470000.0,البلدية
24,3790000.0,التعليم
18,320000.0,التعليم
12,1490000.0,الداخلية
3,21740000.0,الداخلية
6,32480000.0,الدفاع
6,1460000.0,الإسكان
48,6320000.0,الدفاع
24,1430000.0,البلدية
36,2520000.0,الإسكان
6,9890000.0,الدفاع
36,1650000.0,الداخلية
36,340000.0,الصحة
60,150000.0,الإسكان
48,620000.0,النقل
6,230000.0,الإسكان
12,8110000.0,الإسكان
36,330000.0,الداخلية
48,4070000.0,الداخلية
3,80000.0,الصحة
60,160000.0,البلدية
36,120000.0,الإسكان
12,5580000.0,النقل
48,1120000.0,الداخلية
60,47740000.0,الداخلية
6,34900000.0,الصحة
6,440000.0,النقل
6,8320000.0,الداخلية
60,1250000.0,الدفاع
36,1670000.0,البلدية
12,170000.0,الداخلية
60,1230000.0,التعليم
6,13250000.0,البلدية
18,1280000.0,الصحة
48,320000.0,الإسكان
12,370000.0,النقل
18,25150000.0,الدفاع
3,2690000.0,الداخلية
24,80000.0,الإسكان
48,30080000.0,التعليم
6,1220000.0,الصحة
36,190000.0,البلدية
48,370000.0,الدفاع
48,720000.0,الصحة
48,1660000.0,النقل
36,10820000.0,الدفاع
48,190000.0,الدفاع
60,5020000.0,الدفاع
36,5180000.0,البلدية
18,870000.0,الداخلية
48,1680000.0,التعليم
18,1110000.0,البلدية
12,8610000.0,الداخلية
3,5010000.0,الإسكان
48,32250000.0,البلدية
18,1320000.0,الداخلية
6,430000.0,التعليم
6,1960000.0,الداخلية
6,3370000.0,الإسكان
18,7280000.0,التعليم
48,1970000.0,التعليم
18,1050000.0,الإسكان
36,1460000.0,النقل
6,410000.0,التعليم
60,7810000.0,الإسكان
60,9260000.0,الدفاع
60,1430000.0,الداخلية
24,280000.0,النقل
3,5700000.0,النقل
24,680000.0,الداخلية
48,120000.0,البلدية
12,1970000.0,الدفاع
24,18510000.0,الإسكان
12,1060000.0,الإسكان
24,9350000.0,الدفاع
36,45860000.0,الداخلية
12,1510000.0,البلدية
12,500000.0,الداخلية
6,1860000.0,التعليم
6,290000.0,الصحة
36,9210000.0,الداخلية
36,1120000.0,التعليم
12,940000.0,الإسكان
48,1400000.0,الدفاع
24,7790000.0,الصحة
18,730000.0,التعليم
48,1930000.0,التعليم
